region,ip,prefixlength,org
ripencc,5.100.192.0,19,"by.best;""BeST"" CJSC"
ripencc,31.24.88.0,21,n/a
ripencc,37.17.0.0,17,n/a
ripencc,37.44.64.0,18,n/a
ripencc,37.45.0.0,16,n/a
ripencc,37.212.0.0,14,n/a
ripencc,46.28.96.0,21,n/a
ripencc,46.53.128.0,17,n/a
ripencc,46.56.0.0,17,n/a
ripencc,46.56.128.0,17,n/a
ripencc,46.182.48.0,21,n/a
ripencc,46.191.0.0,17,"by.best;""BeST"" CJSC"
ripencc,46.216.0.0,16,n/a
ripencc,77.74.32.0,21,n/a
ripencc,78.140.252.0,22,n/a
ripencc,79.98.48.0,21,by.iptel;IP TelCom LLC
ripencc,79.170.104.0,21,n/a
ripencc,80.94.160.0,20,n/a
ripencc,80.94.224.0,20,by.iptel;IP TelCom LLC
ripencc,80.249.80.0,20,n/a
ripencc,81.30.80.0,20,"by.best;""BeST"" CJSC"
ripencc,81.91.190.0,23,by.aktivnie-tehnologii;Aktivnie Tehnologii LLC
ripencc,82.209.192.0,18,n/a
ripencc,86.57.128.0,17,n/a
ripencc,87.252.224.0,19,n/a
ripencc,91.149.128.0,18,n/a
ripencc,93.84.0.0,15,n/a
ripencc,93.125.0.0,17,n/a
ripencc,93.177.124.0,24,"by.hoster;Reliable Software, Ltd."
ripencc,93.189.224.0,21,by.persik-ltd;LTD Personal Interactive Communications
ripencc,93.191.96.0,21,n/a
ripencc,94.154.118.0,24,n/a
ripencc,95.128.64.0,21,by.iptel;IP TelCom LLC
ripencc,95.130.80.0,21,n/a
ripencc,109.126.128.0,18,"by.best;""BeST"" CJSC"
ripencc,128.65.0.0,18,n/a
ripencc,128.140.240.0,20,n/a
ripencc,134.17.0.0,16,n/a
ripencc,146.19.254.0,24,n/a
ripencc,164.177.192.0,18,"by.best;""BeST"" CJSC"
ripencc,176.60.0.0,16,n/a
ripencc,178.120.0.0,13,n/a
ripencc,178.154.0.0,17,"by.best;""BeST"" CJSC"
ripencc,178.159.44.0,22,by.aktivnie-tehnologii;Aktivnie Tehnologii LLC
ripencc,178.159.240.0,21,by.aktivnie-tehnologii;Aktivnie Tehnologii LLC
ripencc,178.163.128.0,17,n/a
ripencc,178.168.128.0,17,n/a
ripencc,178.172.128.0,17,n/a
ripencc,185.6.24.0,22,"by.best;""BeST"" CJSC"
ripencc,185.11.76.0,22,"by.ntec;Republican Unitary Enterprise ""National Traffic Exchange Center"""
ripencc,185.15.156.0,22,n/a
ripencc,185.20.112.0,22,n/a
ripencc,185.32.224.0,22,by.becloud;Belarusian Cloud Technologies LLC
ripencc,185.47.152.0,23,by.aktivnie-tehnologii;Aktivnie Tehnologii LLC
ripencc,185.53.72.0,22,"by.ktmaz;""KT MAZ""LLC"
ripencc,185.61.104.0,22,n/a
ripencc,185.65.137.0,24,by.aktivnie-tehnologii;Aktivnie Tehnologii LLC
ripencc,185.66.68.0,22,n/a
ripencc,185.70.12.0,22,n/a
ripencc,185.79.16.0,22,by.transoil;Gomeltransneft Druzhba OJSC
ripencc,185.99.142.0,23,by.aktivnie-tehnologii;Aktivnie Tehnologii LLC
ripencc,185.123.184.0,22,"by.ktmaz;""KT MAZ""LLC"
ripencc,185.128.200.0,22,"by.ktmaz;""KT MAZ""LLC"
ripencc,185.137.116.0,22,n/a
ripencc,185.152.136.0,22,n/a
ripencc,185.158.216.0,22,n/a
ripencc,185.179.80.0,22,"by.hoster;Reliable Software, Ltd."
ripencc,185.183.120.0,22,n/a
ripencc,185.186.208.0,22,by.megadata;MEGADATA LLC
ripencc,185.203.152.0,22,by.jllccosmos;COSMOS TV JLLC
ripencc,185.204.116.0,22,n/a
ripencc,185.227.96.0,22,"by.by-nces;Republican Unitary Enterprise ""National Centre of Electronic Services"""
ripencc,185.255.76.0,22,n/a
ripencc,193.176.180.0,22,by.aktivnie-tehnologii;Aktivnie Tehnologii LLC
ripencc,194.158.192.0,19,n/a
ripencc,195.50.0.0,19,n/a
ripencc,195.222.64.0,19,n/a
ripencc,212.98.160.0,19,n/a
ripencc,213.184.224.0,19,n/a
ripencc,217.21.32.0,20,n/a
ripencc,217.21.48.0,20,n/a
ripencc,217.23.112.0,20,n/a
